Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Avg_Price, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
EMCO, BZ, 22-Mar-2021,1.85,1.8,1.8,1.8,1.8,1.8,1.8,953,0.02,8, -, -
EMKAY, EQ, 22-Mar-2021,73.75,73.15,73.85,70.8,72.2,72.55,72.47,43465,31.5,536,24623,56.65
EMMBI, EQ, 22-Mar-2021,75.75,75.75,79.5,74.15,77.45,77.65,76.86,47229,36.3,836,26148,55.36
EMOFSR1RDP, MF, 22-Mar-2021,14.02,14.01,14.11,14.01,14.11,14.11,14.09,6000,0.85,3,6000,100
EMOFSR1RGG, MF, 22-Mar-2021,14.08,14.2,14.2,14.01,14.17,14.15,14.1,97571,13.76,31,91971,94.26
ENDURANCE, EQ, 22-Mar-2021,1417.55,1410,1519.95,1395.05,1482,1489.25,1449.66,184891,2680.29,14730,80256,43.41
ENERGYDEV, BE, 22-Mar-2021,9.3,9.4,9.7,9,9.1,9.1,9.19,11878,1.09,110, -, -
ENGINERSIN, EQ, 22-Mar-2021,73.9,74,75.9,73.5,75.75,75.35,75.13,2678626,2012.42,11327,931097,34.76
ENIL, EQ, 22-Mar-2021,150,153,156,150,153.65,153.55,153.04,98475,150.7,1557,59807,60.73
EPL, EQ, 22-Mar-2021,211.05,211,214.95,210.1,213.9,213.7,212.79,480823,1023.14,11514,152742,31.77
EQ30, EQ, 22-Mar-2021,425.1,421.4,421.4,419.6,421.4,421.4,420.18,10,0.04,7,10,100
EQUITAS, EQ, 22-Mar-2021,86.5,87,88.4,83.55,86,86.4,86.53,1312104,1135.38,13635,449112,34.23
EQUITASBNK, EQ, 22-Mar-2021,55.25,57.2,58.5,55.25,58,57.95,56.72,824801,467.81,6912,378985,45.95
ERFLNCDI, N6, 22-Mar-2021,850,850,850,825.1,825.1,825.1,840.88,160,1.35,3,160,100
ERIS, EQ, 22-Mar-2021,578.1,585,587.95,569.8,573.5,572.5,577.15,81972,473.11,6537,31121,37.97
EROSMEDIA, EQ, 22-Mar-2021,25.3,25,25.6,24.3,25,25.2,25.14,265610,66.76,826,204146,76.86
ESABINDIA, EQ, 22-Mar-2021,1875.4,1899,1899,1840.05,1867.7,1858.2,1868.46,4173,77.97,1006,1847,44.26
ESCORTS, EQ, 22-Mar-2021,1343.15,1343.15,1375,1340.4,1364,1362.3,1361.65,790865,10768.82,43374,164080,20.75
ESSARSHPNG, EQ, 22-Mar-2021,8.6,8.7,9.45,8.15,8.75,8.6,8.91,157974,14.07,451,60344,38.2
ESTER, EQ, 22-Mar-2021,113.45,114.3,120,113.5,117,117.7,117.54,343986,404.32,6876,156449,45.48
EUROCERA, BZ, 22-Mar-2021,1.3,1.35,1.35,1.3,1.35,1.35,1.34,13288,0.18,13, -, -
EUROMULTI, BZ, 22-Mar-2021,1.2,1.15,1.15,1.15,1.15,1.15,1.15,892,0.01,9, -, -
EVEREADY, EQ, 22-Mar-2021,275.75,277.2,279.65,268,268.65,270.55,274.28,286628,786.15,8165,107446,37.49
EVERESTIND, EQ, 22-Mar-2021,302.85,304.9,309.8,296.15,299,299.15,301.22,38657,116.44,1448,19295,49.91
EXCEL, EQ, 22-Mar-2021,2.55,2.5,2.65,2.45,2.45,2.45,2.45,283507,6.96,131,230330,81.24
EXCELINDUS, EQ, 22-Mar-2021,853.95,858,859.7,838,847.05,852.35,852.25,10933,93.18,2175,4825,44.13
EXIDEIND, EQ, 22-Mar-2021,187.2,188.7,190.6,186.7,189.6,189.4,189.7,3211914,6093.12,52656,1073848,33.43
EXPLEOSOL, EQ, 22-Mar-2021,514.2,514.4,523.2,491,501.3,506.7,500.98,20233,101.36,1181,11656,57.61
FACT, EQ, 22-Mar-2021,104.05,107,114.45,102,114.45,114.45,112.72,949441,1070.17,9321,237716,25.04
FAIRCHEMOR, EQ, 22-Mar-2021,649.15,649.15,668,640,655.1,656.85,660.56,16833,111.19,546,8478,50.37
FCL, EQ, 22-Mar-2021,58.85,60,61,59,60.4,60.6,60.07,226468,136.04,1397,142723,63.02
FCONSUMER, EQ, 22-Mar-2021,6.4,6.5,7,6.45,7,7,6.88,9400995,646.69,6851,4388923,46.69
FCSSOFT, BE, 22-Mar-2021,0.7,0.7,0.75,0.65,0.7,0.75,0.71,3042490,21.46,1222, -, -
FDC, EQ, 22-Mar-2021,272.25,277.85,278.95,272.35,273,275.15,275.37,92629,255.07,2786,40750,43.99
FEDERALBNK, EQ, 22-Mar-2021,77.9,78,78.55,76.6,77.3,77.15,77.5,16327873,12653.76,44224,2526010,15.47
FEL, EQ, 22-Mar-2021,8.6,8.7,9.45,8.7,9.45,9.45,9.31,2029625,188.98,17583,884206,43.56
FELDVR, EQ, 22-Mar-2021,10.75,10.7,11.25,10.5,11.25,11.25,11.06,57993,6.41,206,29858,51.49
FELIX, SM, 22-Mar-2021,45,42.75,42.75,42.75,42.75,42.75,42.75,12000,5.13,1,12000,100
FIEMIND, EQ, 22-Mar-2021,576.35,575,594,570,589,579.95,580.44,14368,83.4,1514,7659,53.31
FILATEX, EQ, 22-Mar-2021,68.5,69,69.8,66.3,66.95,66.85,67.37,284977,191.99,1771,157713,55.34
FINCABLES, EQ, 22-Mar-2021,368.9,370,375.6,364.85,366.8,367.35,370.15,128271,474.79,5520,57765,45.03
FINEORG, EQ, 22-Mar-2021,2227.6,2235,2253,2188,2205,2212.4,2219.32,19012,421.94,3961,8258,43.44
FINPIPE, EQ, 22-Mar-2021,618.2,630,632,605.05,613,612.2,614.08,83620,513.49,5466,38341,45.85
FLEXITUFF, BE, 22-Mar-2021,19.45,20,20,18.5,18.5,18.5,18.61,5892,1.1,38, -, -
FLFL, EQ, 22-Mar-2021,64.6,61.5,71,60.95,70,69.4,67.33,1146553,771.96,9049,287590,25.08
FLUOROCHEM, EQ, 22-Mar-2021,577.6,580.35,614.65,579,594.95,590.4,591.88,44911,265.82,2116,12526,27.89
FMGOETZE, EQ, 22-Mar-2021,290.9,292.65,293.45,288.15,293,291.8,291.01,5134,14.94,196,4081,79.49
FMNL, EQ, 22-Mar-2021,14.8,14.35,15.5,14.35,15.5,15.5,15.27,44029,6.72,246,20625,46.84
FORCEMOT, EQ, 22-Mar-2021,1227.8,1233.8,1260,1222.2,1229.6,1232,1232.01,17090,210.55,1989,9055,52.98
FORTIS, EQ, 22-Mar-2021,192.4,193.15,204.5,191.05,202,202.15,198.54,8868991,17608.59,70723,2470805,27.86
FOSECOIND, EQ, 22-Mar-2021,1199.15,1183.05,1200,1164.4,1170,1170.95,1174.78,2772,32.56,310,2290,82.61
FRETAIL, EQ, 22-Mar-2021,55.9,53.6,61.45,50.65,59.05,59.4,57.67,22146864,12771.91,100585,5333782,24.08
FSC, EQ, 22-Mar-2021,79.95,76,83.85,76,83.4,82.9,80.89,313358,253.46,4802,108983,34.78
FSL, EQ, 22-Mar-2021,111.5,108.6,114.6,108.3,111.7,111.6,112,4194167,4697.63,26858,1304370,31.1
G5, EQ, 22-Mar-2021,47.14,47.21,47.3,47.21,47.3,47.3,47.26,1036,0.49,13,975,94.11
GABRIEL, EQ, 22-Mar-2021,110.7,110.7,111,107,108.5,108.35,109.26,497007,543.01,9146,225208,45.31
GAEL, EQ, 22-Mar-2021,132.25,132.25,138.25,131.35,136,136.25,135.79,273043,370.77,3041,81706,29.92
GAIL, EQ, 22-Mar-2021,138.5,140,140,135.35,137.45,136.8,137.17,17116629,23479.11,74391,3495899,20.42
GAL, EQ, 22-Mar-2021,2.15,2.15,2.25,2.05,2.05,2.05,2.05,197144,4.05,153,131241,66.57
GALAXYSURF, EQ, 22-Mar-2021,2360,2364.5,2426.6,2342,2401.25,2396.85,2380.52,13553,322.63,2820,6087,44.91
GALLANTT, EQ, 22-Mar-2021,45.15,45,45.95,44.3,44.5,44.6,44.93,25228,11.33,236,18683,74.06
GALLISPAT, EQ, 22-Mar-2021,37.6,38,38.9,37.4,38.25,38.25,38.09,13945,5.31,114,7812,56.02
GAMMNINFRA, EQ, 22-Mar-2021,0.75,0.75,0.8,0.7,0.8,0.75,0.76,1129235,8.55,28766,912125,80.77
GANDHITUBE, EQ, 22-Mar-2021,261.85,272.5,272.5,259.95,263,263.05,263.89,7603,20.06,428,5910,77.73
GANECOS, EQ, 22-Mar-2021,602.15,608.95,608.95,591.3,597,596.25,597.36,7161,42.78,623,4362,60.91
GANESHHOUC, EQ, 22-Mar-2021,55.65,56,58.4,56,58.4,58.4,58.26,41648,24.26,153,38730,92.99
GANGAFORGE, SM, 22-Mar-2021,41.15,40.7,40.7,40.7,40.7,40.7,40.7,24000,9.77,2,24000,100
GANGESSECU, EQ, 22-Mar-2021,58.95,61.85,65,57.3,63.4,62.7,61.96,4906,3.04,109,2063,42.05
GANGOTRI, BE, 22-Mar-2021,0.6,0.6,0.65,0.6,0.65,0.65,0.62,4740,0.03,18, -, -
GARFIBRES, EQ, 22-Mar-2021,2402.5,2421.75,2430,2320,2397,2395.75,2367.82,17224,407.83,3611,7862,45.65
GATI, EQ, 22-Mar-2021,106.65,107,112.7,105.5,110,109.95,110.09,1209969,1332.04,8904,545210,45.06
GAYAHWS, BE, 22-Mar-2021,0.6,0.6,0.65,0.6,0.65,0.65,0.63,113918,0.72,77, -, -
GAYAPROJ, EQ, 22-Mar-2021,31.85,32.8,32.9,31.15,32.1,32.1,32.2,255342,82.21,1099,181846,71.22
GBGLOBAL, EQ, 22-Mar-2021,7.25,7.25,7.6,6.95,7.5,7.45,7.27,17022,1.24,75,5406,31.76
GDL, EQ, 22-Mar-2021,170.45,173.8,174.4,170.65,173,172.4,172.1,54903,94.49,1023,28490,51.89
GEECEE, EQ, 22-Mar-2021,102.9,105.55,113,103.55,112.25,110.55,109.93,91718,100.83,2693,38062,41.5
GEEKAYWIRE, EQ, 22-Mar-2021,77.85,77.75,78,77,78,78,77.86,17898,13.94,50,17792,99.41
GENCON, EQ, 22-Mar-2021,48.6,49.95,50.1,46.2,47.6,47.45,47.81,11905,5.69,145,9641,80.98
GENESYS, BE, 22-Mar-2021,123.2,123.2,129.35,118.2,122.1,122.5,125.23,12117,15.17,136, -, -
GENUSPAPER, EQ, 22-Mar-2021,7.6,7.6,7.8,7.4,7.45,7.45,7.49,235245,17.61,366,145740,61.95
GENUSPOWER, EQ, 22-Mar-2021,51.95,51.8,53.7,51.8,52.5,52.3,52.65,197925,104.21,1532,106097,53.6
GEOJITFSL, EQ, 22-Mar-2021,52.75,52.7,53.1,51.5,52.15,52,52.21,200195,104.52,1688,130288,65.08
GEPIL, EQ, 22-Mar-2021,268.9,268,272.6,266.15,268.9,270.45,270.13,46412,125.37,1722,26645,57.41
GESHIP, EQ, 22-Mar-2021,301.25,304,308.85,301.4,307.4,305.6,305.36,166957,509.82,5643,96620,57.87
GET&D, EQ, 22-Mar-2021,117.15,117.8,122.65,117.25,119,119.55,119.66,222346,266.05,8904,53251,23.95
GFLLIMITED, EQ, 22-Mar-2021,95.35,93,101.45,93,96.9,98.45,96.08,365077,350.78,6574,210529,57.67
GHCL, EQ, 22-Mar-2021,231.1,232.3,233.95,228,232.7,231.45,230.96,100967,233.19,3049,41958,41.56
GICHSGFIN, EQ, 22-Mar-2021,119.75,120.9,123.3,119.75,121.3,121.3,121.49,275758,335.02,3648,93188,33.79
GICRE, EQ, 22-Mar-2021,219.15,218.9,222.9,214,218.15,219.65,218.7,1479677,3236,20286,442399,29.9
GILLANDERS, EQ, 22-Mar-2021,43.55,43.55,43.55,41.4,41.65,41.8,42.16,9298,3.92,75,7049,75.81
GILLETTE, EQ, 22-Mar-2021,5462.55,5489.7,5550.05,5430,5521.5,5471.3,5464.65,9229,504.33,1757,7128,77.23
GINNIFILA, EQ, 22-Mar-2021,20.8,21.25,22.1,20.85,21.7,21.45,21.63,184772,39.96,567,138116,74.75
GIPCL, EQ, 22-Mar-2021,76.65,77.1,79.4,76.35,78.3,78.15,78.19,552508,432,6142,174001,31.49
GIRIRAJ, SM, 22-Mar-2021,82.85,86.95,86.95,78.75,78.75,78.75,82.48,3600,2.97,3,3600,100
GISOLUTION, EQ, 22-Mar-2021,3.2,3.35,3.35,3.05,3.05,3.05,3.11,13667,0.42,23,13631,99.74
GKWLIMITED, EQ, 22-Mar-2021,503.9,507.95,522.45,500.15,500.15,501.8,507.15,1186,6.01,392,238,20.07
GLAND, EQ, 22-Mar-2021,2554.35,2556.5,2556.5,2473.55,2486,2487,2498.53,125514,3136.01,20384,71086,56.64
GLAXO, EQ, 22-Mar-2021,1431.9,1431.9,1443,1422,1422,1425.45,1429.18,13543,193.55,2106,7265,53.64
GLENMARK, EQ, 22-Mar-2021,458.35,459,467.8,456.05,460.55,460.45,460.23,1113661,5125.4,19864,232460,20.87
GLFL, EQ, 22-Mar-2021,2.7,2.8,2.8,2.6,2.75,2.7,2.69,9831,0.26,41,6109,62.14
GLOBAL, EQ, 22-Mar-2021,44.25,44.2,44.4,42.05,42.05,42.35,42.82,9637,4.13,104,8575,88.98
GLOBALVECT, BZ, 22-Mar-2021,39.95,40.2,41.5,39.85,40,40.65,40.56,12686,5.15,55, -, -
GLOBUSSPR, EQ, 22-Mar-2021,323.55,320,323.75,312.4,315.8,315.45,318.92,71601,228.35,2530,46185,64.5
GMBREW, EQ, 22-Mar-2021,390.3,395,410,391.85,398,397.75,400.47,25665,102.78,1366,14288,55.67
GMDCLTD, EQ, 22-Mar-2021,59,59.5,59.5,57.15,57.3,57.5,58.13,1065011,619.1,6867,301092,28.27
GMMPFAUDLR, EQ, 22-Mar-2021,4202.95,4206.8,4289.35,4150,4249.9,4246.75,4223.87,41680,1760.51,8117,15928,38.21
GMRINFRA, EQ, 22-Mar-2021,25.3,25.55,25.9,24.7,25.8,25.6,25.15,19297420,4853.35,44306,5751165,29.8
GNA, EQ, 22-Mar-2021,372.85,374.65,375.75,367,367.6,368.8,370.45,26367,97.68,1309,12310,46.69
GNFC, EQ, 22-Mar-2021,304.85,306.7,314.3,300.45,301.5,301.7,306.58,931892,2856.96,10919,329990,35.41
GOACARBON, EQ, 22-Mar-2021,292.35,286.55,299.35,282,285,284.3,288.73,35616,102.83,2426,16757,47.05
GOCLCORP, EQ, 22-Mar-2021,222.3,235.6,239,212.7,215,216.7,221.37,13967,30.92,602,8942,64.02
GODFRYPHLP, EQ, 22-Mar-2021,888.05,875,894,875,887,886.65,887.27,26985,239.43,2521,15213,56.38
GODHA, EQ, 22-Mar-2021,47.2,49.15,49.15,46.5,47.05,47.4,47.55,231,0.11,7,17,7.36
GODREJAGRO, EQ, 22-Mar-2021,490.75,490.75,497,486.35,496.4,495.9,493.27,85037,419.46,4438,43936,51.67
GODREJCP, EQ, 22-Mar-2021,672.5,675,696,671,694.95,694.35,686.88,2005221,13773.49,36131,728893,36.35
GODREJIND, EQ, 22-Mar-2021,517.1,512.4,524.8,504.1,521.95,521.25,516.3,280008,1445.69,9083,94958,33.91
GODREJPROP, EQ, 22-Mar-2021,1317.75,1320,1429.6,1320,1418.25,1412,1385.77,2394826,33186.68,80527,729034,30.44
GOENKA, BZ, 22-Mar-2021,2,2.1,2.1,1.9,2.1,2.1,2.03,256947,5.23,206, -, -
GOKEX, EQ, 22-Mar-2021,79.5,80.7,84,79.05,82.65,83.05,81.83,208344,170.48,2414,121925,58.52
GOKUL, EQ, 22-Mar-2021,20.45,20.9,20.9,19.6,20.05,20.15,20.21,647945,130.95,1289,555159,85.68
GOKULAGRO, EQ, 22-Mar-2021,21.45,21.15,22.4,20.1,20.5,20.6,20.38,817956,166.66,1266,723103,88.4
GOLDBEES, EQ, 22-Mar-2021,39.23,40.1,40.1,38.3,38.9,38.85,38.98,4535248,1767.71,30853,3776545,83.27
GOLDENTOBC, EQ, 22-Mar-2021,42.5,43.35,43.35,40.2,41.5,41.45,41.5,6365,2.64,266,3428,53.86
GOLDIAM, EQ, 22-Mar-2021,353.2,358,362,340.4,343,345.5,349.55,120134,419.93,5312,60885,50.68
GOLDSHARE, EQ, 22-Mar-2021,4055.9,4069.95,4078,4021.2,4027.05,4026,4048.36,4621,187.07,1168,3058,66.18
GOLDSTAR, SM, 22-Mar-2021,20.9,21,21.1,21,21.1,21.1,21.06,30000,6.32,4,30000,100
GOLDTECH, BE, 22-Mar-2021,12.25,11.65,11.65,11.65,11.65,11.65,11.65,2797,0.33,26, -, -
GOODLUCK, EQ, 22-Mar-2021,66.05,67.3,67.3,64.2,66.3,66.05,66.04,35091,23.18,597,17165,48.92
GOODYEAR, EQ, 22-Mar-2021,921.45,933,935.9,919.3,919.35,919.95,925.35,11731,108.55,1060,7571,64.54
GPIL, EQ, 22-Mar-2021,642.65,646,689.4,645,676,672.45,667.32,376774,2514.27,15477,140697,37.34
GPPL, EQ, 22-Mar-2021,96.9,97.35,102.45,96.05,102,101.95,100.03,498381,498.55,6898,205902,41.31
GPTINFRA, EQ, 22-Mar-2021,39.75,39.2,41.25,38,39.95,39.55,39.59,37541,14.86,270,22606,60.22
GRANULES, EQ, 22-Mar-2021,313.2,314.8,319,309.75,311,311.2,313.22,1680817,5264.58,32054,830970,49.44
GRAPHITE, EQ, 22-Mar-2021,507.1,508.5,512.5,496,497,499.15,503.35,909236,4576.68,34966,363229,39.95
GRASIM, EQ, 22-Mar-2021,1411.25,1419,1428,1401.25,1416,1413.9,1414.29,1587634,22453.72,57101,381759,24.05
GRAVITA, EQ, 22-Mar-2021,99.65,100,102.65,98.75,99.25,100.55,100.73,124376,125.29,2187,73750,59.3
GREAVESCOT, EQ, 22-Mar-2021,131.35,132.9,138,129.2,135.5,136.35,135.09,1758243,2375.19,22114,706322,40.17
GREENLAM, EQ, 22-Mar-2021,916.3,913.65,922,913.65,914,914.35,916.55,2802,25.68,130,2568,91.65
GREENPANEL, EQ, 22-Mar-2021,166.6,166.6,169.7,160.1,164.3,163.45,163.97,373101,611.79,4864,240089,64.35
GREENPLY, EQ, 22-Mar-2021,174.9,176,179.5,168,168.45,169.3,172.69,432515,746.9,11442,252627,58.41
GREENPOWER, BE, 22-Mar-2021,2,2.05,2.1,1.95,2.1,2.1,2.04,983620,20.09,1080, -, -
GRETEX, SM, 22-Mar-2021,10.35,10.35,10.35,10.35,10.35,10.35,10.35,6000,0.62,1,6000,100
GRINDWELL, EQ, 22-Mar-2021,852.85,857.3,895,857.3,888,889.15,867.34,123520,1071.33,5392,110827,89.72
GROBTEA, EQ, 22-Mar-2021,854.7,850.05,854,812.1,837,824.3,823.77,2035,16.76,564,579,28.45
GRPLTD, EQ, 22-Mar-2021,844.15,829.9,877,822,835,866.45,856.45,2655,22.74,490,1297,48.85
GRSE, EQ, 22-Mar-2021,188.9,192,198,190,191,191.4,193.03,213865,412.81,3863,107013,50.04
GSCLCEMENT, EQ, 22-Mar-2021,34.4,35,35.8,34.75,35.1,35.05,35.35,247613,87.54,1419,128529,51.91
GSFC, EQ, 22-Mar-2021,85.6,85.8,88.8,84.25,86.9,87.1,87.32,2255446,1969.56,11266,614696,27.25
GSPL, EQ, 22-Mar-2021,260.1,261.35,264.25,256.3,258.05,258.4,258.03,1133390,2924.5,8692,923227,81.46
GSS, EQ, 22-Mar-2021,54.45,55,58.85,54.5,57.5,57.75,56.78,220729,125.33,2411,101832,46.13
GTL, EQ, 22-Mar-2021,6,6.15,6.15,5.9,6.05,6,6,127235,7.64,1501,70056,55.06
GTLINFRA, EQ, 22-Mar-2021,0.8,0.8,0.8,0.75,0.8,0.8,0.78,7714400,60,3997,7124026,92.35
GTPL, EQ, 22-Mar-2021,116.75,118,118,112.9,114.55,114.5,114.7,102980,118.11,1709,67783,65.82
GUFICBIO, EQ, 22-Mar-2021,106.25,106.8,109.4,105.25,107.25,107.2,107.35,46275,49.68,750,22192,47.96
GUJALKALI, EQ, 22-Mar-2021,348.15,347.05,361,347.05,350.75,349.95,353.41,142457,503.45,4103,52762,37.04
GUJAPOLLO, EQ, 22-Mar-2021,208.35,212.6,212.6,208.4,208.5,209.1,209.34,2500,5.23,73,1542,61.68
GUJGASLTD, EQ, 22-Mar-2021,520,524.5,524.5,508.1,512.3,510.4,513.38,672263,3451.29,25816,316929,47.14
GUJRAFFIA, BE, 22-Mar-2021,66.1,66.1,66.1,62.8,62.8,62.8,63.01,2722,1.72,67, -, -
GULFOILLUB, EQ, 22-Mar-2021,720.25,723.9,754.65,720,743.1,746.85,737.72,32956,243.12,3337,15951,48.4
GULFPETRO, EQ, 22-Mar-2021,39.4,39.4,40.4,38.5,39.15,38.95,39.14,31773,12.44,370,21942,69.06
GULPOLY, EQ, 22-Mar-2021,92.95,93.75,95.55,92.65,93,93.75,93.9,103318,97.02,1744,49468,47.88
GVKPIL, BZ, 22-Mar-2021,2.35,2.25,2.25,2.25,2.25,2.25,2.25,357110,8.03,322, -, -
HAL, EQ, 22-Mar-2021,1032.05,1032.05,1055.95,1015,1031,1037.25,1040.19,213370,2219.45,18856,83142,38.97
HAPPSTMNDS, EQ, 22-Mar-2021,533.15,534.7,549.9,527.45,538,539.8,541.43,1255441,6797.36,27466,299785,23.88
HARITASEAT, EQ, 22-Mar-2021,748.1,747.95,755,730.05,731.15,739.85,748.69,8254,61.8,460,4153,50.31
HARRMALAYA, EQ, 22-Mar-2021,143.3,144.05,151.95,135.55,142,142.35,146.59,420583,616.54,9834,73036,17.37
HATHWAY, EQ, 22-Mar-2021,29.45,29.15,30.35,29.15,29.8,29.85,29.95,411077,123.11,1806,169092,41.13
HATSUN, EQ, 22-Mar-2021,744,737.5,743.95,725,731,727.6,731.59,11284,82.55,1033,6847,60.68
HAVELLS, EQ, 22-Mar-2021,1043.95,1046,1054.65,1027,1031.8,1037.2,1039.09,1347171,13998.37,24184,378716,28.11
HAVISHA, BE, 22-Mar-2021,0.8,0.8,0.85,0.75,0.8,0.8,0.76,43677,0.33,63, -, -
HBANKETF, EQ, 22-Mar-2021,339.63,338.53,340.09,331.29,336.2,335.83,334.51,3764,12.59,200,2623,69.69
HBLPOWER, EQ, 22-Mar-2021,34.75,35.5,36,34.1,35.5,35.55,35.48,509621,180.83,2971,289955,56.9
HBSL, BE, 22-Mar-2021,18.55,17.65,18.2,17.65,17.65,17.65,17.66,10069,1.78,44, -, -
HCC, EQ, 22-Mar-2021,7.65,7.65,8,7.6,8,8,7.93,1349883,107.05,990,1119933,82.97
HCG, EQ, 22-Mar-2021,175,177.9,177.9,174,175.55,175.35,175.13,54832,96.02,1206,33474,61.05
HCL-INSYS, EQ, 22-Mar-2021,9.1,9.15,9.3,9,9.15,9.05,9.13,325933,29.76,972,262710,80.6
HCLTECH, EQ, 22-Mar-2021,960.45,960.45,982.45,944.6,977.05,978.75,967.35,4745254,45903.19,118618,1890607,39.84
HDFC, EQ, 22-Mar-2021,2531.65,2530.1,2547.35,2485,2536.2,2531.85,2516.21,3367784,84740.65,118982,1871941,55.58
HDFC, W3, 22-Mar-2021,782.45,780,780,766,774.95,775,773.72,19800,153.2,32,13800,69.7
HDFCAMC, EQ, 22-Mar-2021,2871,2889,2890,2850.65,2883,2882.55,2874.36,158775,4563.76,14781,73671,46.4
HDFCBANK, EQ, 22-Mar-2021,1497.5,1494.9,1494.9,1460.4,1474,1469.15,1473.27,7007816,103244.19,257662,3022866,43.14
HDFCLIFE, EQ, 22-Mar-2021,688.45,689.45,694.75,678.25,680.05,679.85,683.06,2585880,17663.04,57995,1351008,52.25
HDFCMFGETF, EQ, 22-Mar-2021,40.2,40.2,40.45,36.6,39.99,39.93,40.07,629700,252.3,1851,452741,71.9
HDFCNIFETF, EQ, 22-Mar-2021,156.41,156,156.99,155,156.2,156.15,155.99,7823,12.2,251,7028,89.84
HDFCSENETF, EQ, 22-Mar-2021,533.87,533.9,541.5,528,530.05,532.79,533.12,3422,18.24,267,2515,73.5
HDIL, BZ, 22-Mar-2021,5.25,5.25,5.3,5,5.15,5.15,5.08,417226,21.19,638, -, -
HEG, EQ, 22-Mar-2021,1589.2,1590,1602,1560.25,1562,1570.1,1577.34,209032,3297.14,11131,53007,25.36
HEIDELBERG, EQ, 22-Mar-2021,218.85,220,226.7,218.55,226.7,225.25,224.28,289798,649.96,4902,196311,67.74
HEMIPROP, BE, 22-Mar-2021,152.25,153,153.85,146.5,148,148.6,149.9,329032,493.23,2766, -, -
HERANBA, EQ, 22-Mar-2021,639.4,640,668.65,633.05,640,642.05,652.35,474231,3093.64,27469,125959,26.56
HERCULES, EQ, 22-Mar-2021,113.7,115.75,116.75,113.9,115.9,115.6,115.43,39504,45.6,1317,16223,41.07
HERITGFOOD, EQ, 22-Mar-2021,309.35,309.35,314.4,293.75,301,300.95,301.89,145532,439.34,6150,57953,39.82
HEROMOTOCO, EQ, 22-Mar-2021,3119.15,3131.6,3143.95,3081.15,3100,3095.85,3111.88,619756,19286.05,46285,252268,40.7
HESTERBIO, EQ, 22-Mar-2021,1779.2,1775.6,2135,1753.8,2135,2130.9,2056.8,163152,3355.71,10609,46904,28.75
HEXATRADEX, BE, 22-Mar-2021,66.3,66.35,69.4,63.7,67.7,67.8,67.16,245058,164.59,119, -, -
HFCL, EQ, 22-Mar-2021,26.3,26.35,27.3,26.1,26.6,26.65,26.69,3956666,1055.95,5613,1868937,47.24
HGINFRA, EQ, 22-Mar-2021,270.3,277.4,277.4,259,263.9,261.8,264.3,87464,231.17,4289,50347,57.56
HGS, EQ, 22-Mar-2021,1210.25,1210.25,1438.35,1205.65,1371.5,1369.25,1377.81,361642,4982.75,30579,57891,16.01
HIKAL, EQ, 22-Mar-2021,149.2,149.2,153,147.85,148.9,148.75,150.46,257641,387.64,4449,95648,37.12
HIL, EQ, 22-Mar-2021,2992.45,3030,3068,2891.75,2970.2,2950.5,2980.15,10612,316.25,2079,5144,48.47
HILTON, EQ, 22-Mar-2021,9.8,10,10.05,9.6,10,9.9,9.81,21970,2.16,85,12924,58.83
HIMATSEIDE, EQ, 22-Mar-2021,149.05,152.05,157.8,150,155.25,155.15,155.09,234009,362.93,10031,73414,31.37
HINDALCO, EQ, 22-Mar-2021,335.1,335.1,342.65,331.1,341.7,339.75,335.64,8470164,28429.62,60643,1696260,20.03
HINDCOMPOS, EQ, 22-Mar-2021,275.25,275.3,289.8,275,277.15,278.75,280.21,4363,12.23,330,2179,49.94
HINDCOPPER, EQ, 22-Mar-2021,125.85,127,127.4,122.35,123.7,124.1,125.09,2319194,2901.12,16845,862471,37.19
HINDMOTORS, BE, 22-Mar-2021,6.9,6.9,7,6.65,6.9,6.85,6.86,45806,3.14,189, -, -
HINDNATGLS, EQ, 22-Mar-2021,39.05,38.7,39.8,36.1,37.15,37.55,37.58,396305,148.93,2297,213775,53.94
HINDOILEXP, EQ, 22-Mar-2021,98.65,99.45,99.45,96.3,98.5,97.05,98.05,598707,587.01,7652,215644,36.02
HINDPETRO, EQ, 22-Mar-2021,234.75,236.95,237.5,234.45,236.8,236.55,235.79,3337228,7868.87,40852,1400667,41.97
HINDUNILVR, EQ, 22-Mar-2021,2312.05,2310.1,2356.5,2302,2352,2353.2,2334.61,2471516,57700.3,118896,1393160,56.37
HINDZINC, EQ, 22-Mar-2021,283.35,284.5,289.7,277.35,278.2,278.25,281.79,1128743,3180.72,22347,397196,35.19
HIRECT, EQ, 22-Mar-2021,129.2,130.85,132,129.35,130,130.95,130.56,10804,14.11,244,6358,58.85
HISARMETAL, EQ, 22-Mar-2021,102.45,103,104.05,100.4,103.9,102.95,102.85,8520,8.76,294,4999,58.67
HITECH, EQ, 22-Mar-2021,369.8,361.9,378.4,357.8,375,373.95,372.85,57945,216.05,769,23815,41.1
HITECHCORP, EQ, 22-Mar-2021,118.75,117.35,125.1,116,120.8,119.55,119.22,4983,5.94,152,3817,76.6
